tmdb_id,imdb_id,name,country,origin_country,year,first_air_date,original_language,averageRating,numVotes,weighted_rating,vote_average_tmdb,vote_count_tmdb,popularity
81046,tt8688814,The Dragon Prince,US,US,2018,2018-09-14,en,8.2,31691,8.183777301361284,8.209,695,16.1546
96713,tt11639414,The Midnight Gospel,US,US,2020,2020-04-20,en,8.2,29900,8.182821549609246,8.281,929,4.0032
86340,tt8101850,Undone,US,US,2019,2019-09-12,en,8.2,26781,8.18085756050442,7.675,377,5.3332
18123,tt1660055,Scooby-Doo! Mystery Incorporated,US,US,2010,2010-07-12,en,8.2,22671,8.177462134052094,8.226,1116,23.0318
272,tt0810644,Korgoth of Barbaria,US,US,2006,2006-06-03,en,8.3,4003,8.172923630495468,7.694,36,0.9376
2274,tt0197159,Home Movies,US,US,1999,1999-04-26,en,8.2,11886,8.157837486526812,7.561,114,5.6634
205783,tt13259622,Bee and PuppyCat,US,US,2022,2022-09-06,en,8.5,1459,8.156853041409441,8.5,33,3.8375
78173,tt4816058,Dragons: Race to the Edge,US,US,2015,2015-06-26,en,8.2,11220,8.155441562126372,8.4,479,21.5618
112442,tt9288860,Trash Truck,US,US,2020,2020-11-10,en,8.6,1113,8.152247432189148,5.9,8,2.7134
7768,tt0078692,Star Blazers,US,"US,JP",1974,1974-10-06,en,8.4,1774,8.126374277977616,8.2,18,2.1533
61949,tt3038546,Mike Tyson Mysteries,US,US,2014,2014-10-27,en,8.2,6267,8.122827709194782,7.302,63,3.7755
67111,tt5905038,HarmonQuest,US,US,2016,2016-07-14,en,8.3,2500,8.109258369373698,7.8,35,5.3523
70437,tt5846856,Ask the Storybots,US,US,2016,2016-08-12,en,8.5,1205,8.105733201244044,7.0,13,5.0651
10077,tt0069627,Schoolhouse Rock!,US,US,1973,1973-01-06,en,8.2,4726,8.10007177729068,7.667,36,1.9991
1434,tt0182576,Family Guy,US,US,1999,1999-01-31,en,8.1,389159,8.098788107314654,7.404,4972,163.2247
56021,tt0112065,The Maxx,US,US,1995,1995-04-08,en,8.2,4654,8.098675806775532,8.246,69,3.2088
60554,tt2930604,Star Wars Rebels,US,US,2014,2014-10-13,en,8.1,69986,8.093300444175028,7.7,997,23.6335
1877,tt0852863,Phineas and Ferb,US,US,2007,2007-08-17,en,8.1,68049,8.0931111337601,7.9,1020,46.9906
203085,tt20723374,Star Wars: Tales of the Jedi,US,US,2022,2022-10-26,en,8.1,45352,8.089701105908599,7.9,481,6.6865
61175,tt3061046,Steven Universe,US,US,2013,2013-11-04,en,8.1,44974,8.08961549694597,8.404,1335,27.9712
513,tt0147746,Batman Beyond,US,US,1999,1999-01-10,en,8.1,33312,8.08603380776414,8.2,612,17.7646
2131,tt0118298,Daria,US,US,1997,1997-03-03,en,8.1,29215,8.084108198153158,8.249,678,8.2497
79732,tt7745956,She-Ra and the Princesses of Power,US,US,2018,2018-11-13,en,8.1,22344,8.079328274738273,8.473,817,11.0856
55828,tt2061165,How It Should Have Ended,US,US,2005,2005-04-23,en,8.2,3815,8.078974532588898,6.575,20,1.8506
4303,tt0115378,Superman: The Animated Series,US,US,1996,1996-09-06,en,8.1,19843,8.07678686074429,7.658,376,17.1763
699,tt0106842,Exosquad,US,US,1993,1993-09-18,en,8.4,1415,8.075078385441826,6.421,19,4.1243
114419,tt13617024,Headspace Guide to Meditation,US,US,2021,2021-01-01,en,8.3,2036,8.07435926976384,7.8,81,1.6492
11191,tt0242210,The Kids from Room 402,US,US,2000,2000-08-29,en,8.2,3474,8.068589609491971,7.4,35,3.3118
3850,tt0101169,The Pirates of Dark Water,US,US,1991,1991-02-25,en,8.2,3192,8.058552304474835,7.6,39,3.2155
32910,tt1659175,Transformers: Prime,US,US,2010,2010-11-26,en,8.1,10603,8.05746871189058,8.1,475,13.3604
34356,tt1812523,TRON: Uprising,US,US,2012,2012-06-07,en,8.1,10248,8.056063928928275,7.5,166,4.8312
292,tt0476922,Moral Orel,US,US,2005,2005-12-12,en,8.1,9454,8.052559283516285,7.971,102,5.4841
1542,tt0865409,Frisky Dingo,US,US,2006,2006-10-16,en,8.1,7957,8.044161654028745,7.353,68,2.9149
2403,tt0208616,Downtown,US,US,1999,1999-08-03,en,8.3,1708,8.040840175779483,7.891,23,3.5326
472,tt0361201,Megas XLR,US,US,2004,2004-05-01,en,8.1,6276,8.030309195413384,8.127,110,3.8554
39479,tt2289131,Off the Air,US,US,2011,2011-01-01,en,8.4,1150,8.022894004921875,8.417,24,1.1059
40064,tt1608383,Black Dynamite,US,US,2012,2012-07-15,en,8.1,5341,8.019153416901403,7.6,57,5.0196
61174,tt4163486,Bee and PuppyCat,US,US,2014,2014-11-06,en,8.1,4601,8.007425035899058,8.23,63,4.2652
46879,tt2768802,Mickey Mouse,US,US,2013,2013-06-28,en,8.1,4503,8.005611654631439,7.644,239,12.9961
60877,tt2474952,Bravest Warriors,US,US,2012,2012-11-08,en,8.1,3882,7.992235305367662,7.622,37,4.5642
63522,tt4326894,F is for Family,US,US,2015,2015-12-18,en,8.0,44497,7.990616599064851,7.385,441,7.0013
32315,tt1709198,Sym-Bionic Titan,US,US,2010,2010-09-17,en,8.1,3755,7.989018826820469,8.5,179,4.3761
720,tt0092345,DuckTales,US,US,1987,1987-09-18,en,8.0,37839,7.988987065602157,7.679,737,17.4507
86957,tt4651448,Green Eggs and Ham,US,US,2019,2019-11-08,en,8.1,3652,7.9862656811466985,8.0,67,8.4751
4269,tt0086817,The Transformers,US,US,1984,1984-10-06,en,8.0,25408,7.983702914471248,7.815,425,14.9718
1719,tt0108783,Gargoyles,US,US,1994,1994-10-24,en,8.0,20235,7.979637092265305,8.08,477,16.1407
289892,tt10691770,Helluva Boss,US,US,2020,2020-10-31,en,8.0,17517,7.976565194434206,7.625,88,10.8073
6549,tt0772145,Wolverine and the X-Men,US,US,2009,2009-01-23,en,8.0,12954,7.968617147920403,7.508,295,3.1083
416,tt0294097,"Harvey Birdman, Attorney at Law",US,US,2000,2000-12-30,en,8.0,12647,7.967884316431209,7.947,122,7.1665
10331,tt0118475,Spawn,US,US,1997,1997-05-16,en,8.0,11561,7.9649925468967,8.007,296,4.8248
66558,tt5580664,Voltron: Legendary Defender,US,US,2016,2016-06-10,en,8.0,10888,7.962923701099499,7.228,147,12.1591
40351,tt1724587,Green Lantern: The Animated Series,US,US,2011,2011-11-11,en,8.0,8305,7.952047144590699,7.7,209,7.1525
553,tt0085011,Dungeons & Dragons,US,US,1983,1983-09-17,en,8.0,6877,7.942764688643228,7.9,268,4.9684
262657,tt0245612,Shin Chan,US,US,2006,2006-08-21,en,8.0,6662,7.941046510488843,7.667,27,2.9572
114501,tt13624054,Dug Days,US,US,2021,2021-09-01,en,8.0,6324,7.938126481260419,7.393,541,4.5329
105797,tt7736558,Wizards: Tales of Arcadia,US,US,2020,2020-08-07,en,8.0,5940,7.934437128590233,8.17,398,3.9015
114500,tt13624052,Win or Lose,US,US,2025,2025-02-19,en,8.0,5759,7.9325411580318095,8.014,143,3.5301
14769,tt1132124,Xavier: Renegade Angel,US,US,2007,2007-11-04,en,8.0,5605,7.930839493549729,8.477,44,3.4126
133808,tt12545180,Ten Year Old Tom,US,US,2021,2021-09-30,en,8.1,2284,7.930378989986025,6.8,22,2.1647
305494,tt1830238,Salad Fingers,US,US,2004,2004-07-01,en,8.0,3867,7.90331465722947,8.0,4,0.1864
85000,tt6905458,The Shivering Truth,US,US,2018,2018-12-09,en,8.0,3426,7.892454179348216,7.6,58,3.3432
926,tt0063950,"Scooby-Doo, Where Are You!",US,US,1969,1969-09-13,en,7.9,47572,7.892256929358485,7.8,821,10.5804
604,tt0343314,Teen Titans,US,US,2003,2003-07-19,en,7.9,43275,7.891496861407678,8.36,1323,19.8833
160,tt0131613,Teenage Mutant Ninja Turtles,US,US,1987,1987-12-14,en,7.9,40758,7.890978115956205,7.762,835,22.6458
97645,tt8910922,Solar Opposites,US,US,2020,2020-05-08,en,7.9,36989,7.890071090403082,7.791,618,17.5193
3122,tt0361243,Star Wars: Clone Wars,US,US,2003,2003-11-07,en,7.9,32639,7.888767769338879,7.8,489,7.1876
657,tt0106115,Rocko's Modern Life,US,US,1993,1993-09-18,en,7.9,22697,7.883953748679619,7.457,314,10.5091
61923,tt2758770,Star vs. the Forces of Evil,US,US,2015,2015-01-18,en,7.9,21706,7.883237643345091,8.4,1502,25.2253
3288,tt0237987,The Weekenders,US,US,2000,2000-02-26,en,8.0,3112,7.883104957951577,8.156,32,5.7302
1988,tt0088631,ThunderCats,US,US,1985,1985-01-23,en,7.9,20604,7.882362353493229,8.248,1093,14.3884
51817,tt1877889,Teenage Mutant Ninja Turtles,US,US,2012,2012-09-28,en,7.9,18224,7.880120439442486,8.3,790,29.0345
44305,tt2325846,DreamWorks Dragons,US,US,2012,2012-08-07,en,7.9,16273,7.877808090867532,7.757,758,10.6596
2284,tt0318913,Teenage Mutant Ninja Turtles,US,US,2003,2003-02-08,en,7.9,14983,7.875959123433515,7.862,218,16.0941
38693,tt1871731,Ninjago: Masters of Spinjitzu,US,US,2012,2012-01-11,en,7.9,13433,7.87328465571816,8.0,775,45.8503
32351,tt1621748,Ugly Americans,US,US,2010,2010-03-17,en,7.9,11746,7.869604369436641,8.209,666,5.1241
201213,tt9894516,ONI: Thunder God's Tale,US,US,2022,2022-10-21,en,8.1,1501,7.864005551284905,7.528,36,2.2849
74728,tt7042146,Carmen Sandiego,US,US,2019,2019-01-18,en,7.9,8469,7.858498729860755,7.943,168,5.0396
2798,tt0108937,Space Ghost Coast to Coast,US,US,1994,1994-04-15,en,7.9,8343,7.857907396598564,7.792,113,12.3069
102321,tt8543208,Looney Tunes Cartoons,US,US,2020,2020-05-27,en,8.0,2429,7.8558467422741876,7.786,281,19.9714
962,tt0057730,Jonny Quest,US,US,1964,1964-09-18,en,7.9,6011,7.842831378915849,8.134,82,3.3973
116249,tt9248538,Kid Cosmic,US,US,2021,2021-02-02,en,8.0,2048,7.834291643689598,7.9,83,2.9728
948,tt0101134,Liquid Television,US,US,1991,1991-06-02,en,8.1,1158,7.815184021785944,7.4,9,0.8508
74204,tt6524350,Big Mouth,US,US,2017,2017-09-29,en,7.8,98665,7.796750618747755,7.625,1219,22.804
105971,tt12708542,Star Wars: The Bad Batch,US,US,2021,2021-05-04,en,7.8,67314,7.795248401629768,8.2,1155,13.9299
4229,tt0115157,Dexter's Laboratory,US,US,1996,1996-04-28,en,7.8,58184,7.794509152547903,7.654,891,30.0297
2228,tt0112123,Pinky and the Brain,US,US,1995,1995-09-09,en,7.8,35230,7.79098167109211,7.691,747,8.9243
1546,tt0126170,Recess,US,US,1997,1997-09-13,en,7.8,30592,7.789636405124184,7.749,519,14.8731
85948,tt9184820,Star Trek: Lower Decks,US,US,2020,2020-08-06,en,7.8,30533,7.789616701837434,7.651,443,18.7532
219543,tt26545355,Creature Commandos,US,US,2024,2024-12-05,en,7.8,27966,7.788680359310092,7.762,332,10.4503
82,tt0105941,Animaniacs,US,US,1993,1993-09-13,en,7.8,27743,7.788590982123751,8.007,769,26.5096
110948,tt13206602,The Snoopy Show,US,US,2021,2021-02-05,en,8.1,1016,7.788506007995446,7.8,157,12.3285
63401,tt4839610,We Bare Bears,US,US,2015,2015-08-24,en,7.8,22633,7.786070769382315,7.73,1845,28.781
6673,tt1178180,The Marvelous Misadventures of Flapjack,US,US,2008,2008-06-05,en,7.8,18075,7.782652764905578,8.1,376,10.7269
31109,tt1622696,Ben 10: Ultimate Alien,US,US,2010,2010-04-23,en,7.8,15289,7.779591811268674,8.22,882,15.544
668,tt0247827,X-Men: Evolution,US,US,2000,2000-11-04,en,7.8,14724,7.778834413302752,7.967,527,10.1565
